developer_id,profile.bio,profile.location,profile.followers,profile.following,profile.public_repos,profile.years_on_github,activity_metrics.insertions,activity_metrics.deletions,activity_metrics.lines_changed,activity_metrics.commit_count,activity_metrics.issue_count,activity_metrics.pr_count,activity_metrics.bugs_solved,activity_metrics.features_implemented,activity_metrics.tasks_resolved,activity_metrics.high_severity_repos,activity_metrics.low_or_moderate_severity_repos,activity_metrics.stars,activity_metrics.forks,activity_metrics.watchers,latest_commit.message,latest_commit.repo_owner,latest_commit.repo_name,organizations,profile.company
0,DevOps nerd that never has enough spare time!,UK,36.0,0,17,10.0,1948,970,2918,30,1,22,1,0,0,0,1,161.0,31.0,161.0,Removed codeowner for growatt_server (#103970) | : Update growatt_server owners (#87804) | : Fix growatt identification issue (#84628) | : Fix growatt identification issue (#84628) | : Re-add missing Growatt TLX values (#84040) | : Re-add missing Growatt TLX values (#84040) | : Bump growattServer to 1.3.0 (#82953) | : Fix Growatt incorrect energy dashboard values for grid import (#82163) | : Bump growattServer to 1.2.4 (#82071) | : Fix Growatt incorrect energy dashboard values for grid import (#82163) | : Bump growattServer to 1.2.4 (#82071) | : Fix Growatt missing state class (#81980) | : Growatt version bump - fixes #80950 (#81161) | : Growatt version bump - fixes #80950 (#81161) | : Bump growattServer to 1.2.2 (#73561) | : Bump growattServer to 1.2.2 (#73561) | : Fix timezone for growatt lastdataupdate (#67684) | : Fix timezone for growatt lastdataupdate (#67684) | : Fix data type for growatt lastdataupdate (#67511) (#67582) | : Fix data type for growatt lastdataupdate (#67511) (#67582) | : Add __init__ for growatt sensor types (#58749) | : Refactor Growatt sensor types (#56544) | : Bump growattServer to 1.1.0 (#56084) | : Bump growattServer to 1.1.0 (#56084) | : Added trailing slash to US growatt URL (#55504) | : Added trailing slash to US growatt URL (#55504) | : Allow for alternative external Growatt servers (#53102) | : Adjust Growatt PV units from W to kW (#52021) | : Bump growattServer library (#50588) | : Add 'mix' system support for Growatt integration (#49026),home-assistant,core,,
1,"Full-Stack Developer. I have way too much free time.Working with C++, C#, JS, Java and Python",,93.0,5,31,10.0,6,3,9,2,0,3,0,0,0,0,0,763.0,115.0,763.0,SharkIQ Fix for vacuums without room support (#118209) | : Fix rooms not being matched correctly in sharkiq.clean_room (#118277),home-assistant,core,NVIDIAGameWorks;DevsterGames,@VRCFaceTracking
2,,"Tacoma, WA",19.0,55,14,13.0,100,13,113,1,0,16,0,0,0,0,0,5.0,3.0,5.0,Allow attaching additional data to schedule helper blocks (#116585),home-assistant,core,ChildrenOfUr;wolframmfg,@wolframmfg
3,"Contributor to Frigate AI NVR-I am a passionate Developer who loves UI dev, smart home automation, and learning new things!",Colorado,139.0,7,35,10.0,216,7,223,3,0,4,0,0,0,0,0,85.0,24.0,85.0,Add snapshot service to image entity (#110057) | : Gogogate2 Battery Sensor Should Use % Unit For Compatibility (#59434) | : Update ismartgate dependency (#58259),home-assistant,core,,Nick Nack Development
4,,Paris,117.0,14,92,13.0,183,4,187,1,0,1,0,0,0,0,0,175.0,78.0,175.0,Add PrusaLink nozzle and mmu support (#120436),home-assistant,core,mysecureshell;nousmotards;ridesafe,Qovery
5,,Sweden,21.0,0,48,12.0,20304,1322,21626,38,0,41,0,0,0,0,0,251.0,38.0,251.0,Improve mapping of myuplink entities (#129137) | : Add select platform to myuplink (#118661) | : Migrate myuplink to runtime_data (#118960) | : Add more unit-based sensor descriptions to myuplink (#113104) | : Allow removal of myuplink device from GUI (#117009) | : Add helper strings for myuplink application credentials (#115349) | : Add alarm and connectivity binary_sensors to myuplink (#111643) | : Add missing oauth2 error strings to myuplink (#115315) | : Show correct model string in myuplink (#114921) | : Bump myuplink dependency to 0.6.0 (#114767) | : Show correct model string in myuplink (#114921) | : Bump myuplink dependency to 0.6.0 (#114767) | : Revert get_model from myuplink lib (#113811) | : Filter out irrelevant entities on SMO20 devices in myuplink (#113493) | : Create more relevant names for myuplink DeviceInfo (#111502) | : Add icon translations to myuplink (#111466) | : Add tests for number of devices created in myuplink (#111816) | : Bump myuplink lib to 0.5.0 (#111447) | : Add @astrandb as myuplink codeowner (#111449) | : Add myuplink number platform (#111154) | : Correct myUplink dash replacement (#111143) | : Replace dash with hard hyphen in myuplink entity names (#111074) | : Add myuplink switch platform (#110810) | : Add tests to myuplink binary_sensor (#110995) | : Add check for myuplink startup ClientError (#110926) | : Add myuplink reauth flow (#110587) | : Add some myuplink tests (#110521) | : Add myuplink binary_sensor platform (#110388) | : Add myuplink unit-based sensor descriptions (#110370) | : Cleanup myuplink imports (#110374) | : Add myuplink specific sensor descriptions (#109867) | : Add myuplink diagnostics download (#109925) | : Bump myuplink dependency to 0.1.1 (#109878) | : Remove soft hyphens from myuplink sensor names (#109845) | : Remove soft hyphens from myuplink sensor names (#109845) | : Add update platform to myuplink (#109786) | : Add myuplink sensor descriptions for current and frequency sensors (#109784) | : Add hvac_action property to Senz (#77413),home-assistant,core,,
6,computer ? :thinking_face:,"Redmond, WA",303.0,122,407,13.0,11862,134,11996,16,0,11,0,0,0,0,0,14.0,9.0,14.0,Bump apple_weatherkit to 1.1.2 (#105140) | : Bump apple_weatherkit to 1.1.2 (#105140) | : Update apple_weatherkit to 1.1.1 (#105079) | : Increase frequency of weatherkit updates (#105094) | : Update apple_weatherkit to 1.1.1 (#105079) | : Auto-fix common key entry issues during WeatherKit config flow (#101504) | : Auto-fix common key entry issues during WeatherKit config flow (#101504) | : Add weatherkit sensor platform (#101150) | : Add native precipitation unit for weatherkit (#101073) | : Add native precipitation unit for weatherkit (#101073) | : Bump apple_weatherkit to 1.0.4 (#101057) | : Bump apple_weatherkit to 1.0.4 (#101057) | : Bump apple_weatherkit to 1.0.3 (#100416) | : Address weatherkit late review comments (#100265) | : Update apple_weatherkit to 1.0.2 (#100254) | : Add Apple WeatherKit integration (#99895),home-assistant,core,ponydevs;Academus;OVRTools,@twosense
7,,,5.0,1,33,13.0,878,89,967,6,0,6,0,0,0,0,0,33.0,18.0,33.0,Fix Lyric LCC thermostats auto mode (#104853) | : Fix Lyric LCC thermostats auto mode (#104853) | : Fix Lyric HVAC mode reset on temperature change (#104910) | : Fix Lyric HVAC mode reset on temperature change (#104910) | : Add iBeacon start byte to allowed Apple Bluetooth advertisements (#78088) | : Add initial implementation of tilt_ble integration (#77633),home-assistant,core,,@returntocorp
8,,Germany,33.0,16,76,16.0,18,18,36,5,0,3,0,0,0,0,0,14.0,2.0,14.0,Fix tibber fails if power production is enabled but no power is produced (#126209) | : Fix tibber fails if power production is enabled but no power is produced (#126209) | : Set ping interval to 15 seconds instead of 5 minutes (#105191) | : Set ping interval to 15 seconds instead of 5 minutes (#105191) | : Bump pillow from 8.2.0 to 8.3.2 (#61661),home-assistant,core,pear;s9y,
9,Trying to make things easier for everyone.,"East Coast, US",15.0,2,36,9.0,37294,23925,61219,633,2,668,2,11,0,0,2,34.0,16.0,34.0,"Store runtime data inside the config entry in Litter Robot (#119547) | : Store runtime data inside the config entry in Deluge (#119549) | : Store runtime data inside the config entry in Steam (#119881) | : Store runtime data inside the config entry in Lidarr (#119548) | : Add update coordinator to Netgear LTE (#115474) | : Store runtime data inside the config entry in Sense (#119740) | : Handle general update failure in Sense (#119739) | : Run Radarr movie coordinator first refresh in background (#119827) | : Store runtime data inside the config entry in Radarr (#119749) | : Store runtime data inside the config entry in Efergy (#119551) | : Store runtime data inside the config entry in Tautulli (#119552) | : Store runtime data inside the config entry in Dlink (#119442) | : Store runtime data inside the config entry in Goalzero (#119440) | : Store runtime data inside the config entry in Google Mail (#119439) | : Store runtime data inside the config entry in Google Sheets (#119438) | : Store runtime data inside the config entry in Dremel 3D Printer (#119441) | : Remove Netgear LTE yaml import (#119180) | : Bump pyefergy to 22.5.0 (#117395) | : Add test for radarr update failure (#116882) | : fix radarr coordinator updates (#116874) | : fix radarr coordinator updates (#116874) | : Bump deluge-client to 1.10.0 (#110663) | : Mitigate session closed error in Netgear LTE (#110412) | : Mitigate session closed error in Netgear LTE (#110412) | : Bump deluge-client to 1.10.0 (#110663) | : Bump nextcord to 2.6.0 (#110485) | : Set entity category and device class for Netgear LTE entities (#106661) | : Fix Netgear LTE halting startup (#106598) | : Add entity name and translations to Netgear LTE (#106599) | : Fix Netgear LTE halting startup (#106598) | : Add device info to Netgear LTE (#106568) | : Add config flow to Netgear LTE (#93002) | : Add calendar entity to Radarr (#79077) | : Fix Harmony switch removal version (#104838) | : Fix Harmony switch removal version (#104838) | : Deprecate Harmony switch platform (#92787) | : Add binary sensor tests to Skybell (#79568) | : Fix Google Mail expired authorization (#102735) | : Fix Google Mail expired authorization (#102735) | : Fix Slack type error for file upload (#101720) | : Fix Slack type error for file upload (#101720) | : Add Queue sensor to Radarr (#79723) | : Adjust Calendar doc strings and comments (#101655) | : Correct doc strings for Hassio component (#101530) | : Add entity translations to Goalzero (#95310) | : Remove unnecessary defaults from Netatmo sensor (#101528) | : Bump goalzero to 0.2.2 (#96121) | : Correct Goalzero sensor state class (#96122) | : Bump goalzero to 0.2.2 (#96121) | : Add button platform to Dremel 3D printer (#94517) | : Add entity translations to Google Mail (#95312) | : Add entity translations to Lidarr (#95313) | : Add entity translations to Litterrobot (#95316) | : Add entity translations to Radarr (#95317) | : Tweak Dremel 3D Printer sensors (#94552) | : Add camera platform to Dremel (#93882) | : Catch Google Sheets api error (#93979) | : Catch Google Sheets api error (#93979) | : Add binary sensor platform to Dremel 3D Printer (#93881) | : Add Dremel 3D Printer integration (#85969) | : Bump eternalegypt to 0.0.16 (#92919) | : Move Netgear LTE services to their own file (#92945) | : Move Netgear LTE entity to its own file (#92944) | : Move Netgear LTE constants to their own file (#92924) | : Bump eternalegypt to 0.0.16 (#92919) | : Cleanup after removing D-Link yaml (#92739) | : Fix regression in Skybell (#92735) | : Add missing fstrings in Local Calendar (#92288) | : Add missing fstrings in Local Calendar (#92288) | : Fix Google Mail Sensor key error (#92262) | : Fix Google Mail Sensor key error (#92262) | : Bump aiopyarr to 23.4.0 (#91110) | : Bump aiopyarr to 23.4.0 (#91110) | : Add tests to Lidarr (#79610) | : Add HTML support for Google Mail messages (#87201) | : Disable uptime sensor by default in Unifi (#87484) | : Disable uptime sensor by default in Unifi (#87484) | : Address Google mail late review (#86847) | : Address Google mail late review (#86847) | : Adjust D-Link entity naming (#86906) | : Fix D-Link attributes (#86842) | : Fix D-Link attributes (#86842) | : Fix D-Link config flow auth (#86824) | : Add D-link tests (#86825) | : Fix D-Link config flow auth (#86824) | : Add dhcp discovery to D-Link (#85661) | : Remove oauth2client dependency in Google Sheets (#85637) | : Remove oauth2client dependency in Google Sheets (#85637) | : Address review comments for D-Link config flow (#85712) | : Add D-Link config flow (#84927) | : Add Google Mail integration (#82637) | : Bump steamodd to 4.23 (#85071) | : Add Do Not Disturb sensor to Slack (#72380) | : Remove deprecated Radarr YAML config (#81210) | : Fix Google Sheets formula input (#82157) | : Add missing strings in Onvif (#82141) | : Add missing strings in Onvif (#82141) | : Fix Google Sheets formula input (#82157) | : Bump aiopyarr to 22.11.0 (#81694) | : Add integration_type for some integrations (#81499) | : Bump aiopyarr to 22.11.0 (#81694) | : Bump aiopyarr to 22.10.0 (#81153) | : Bump aiopyarr to 22.10.0 (#81153) | : Use custom attributes description in Sonarr (#79845) | : Migrate Sonarr to new entity naming style (#79844) | : Add strict typing to Google Sheets (#79801) | : Move Sonarr API calls to coordinators (#79826) | : Add strict typing to Sonarr (#79802) | : Add strict typing to Skybell (#79800) | : Change Lidarr device name to entry title (#79630) | : Remove superfluous strings from Lidarr (#79631) | : Unregister Google sheets services during unload (#79314) | : Unregister Google sheets services during unload (#79314) | : Bump aiopyarr to 22.9.0 (#79173) | : Remove issue from Radarr (#79127) | : Allow multiple entries in Tautulli (#74406) | : Migrate attributes to sensors in Litter-Robot (#78580) | : Add missing doc strings and requirements in Google Sheets (#78616) | : Change Skybell color mode to RGB (#78078) | : Migrate Radarr to new entity naming style (#79042) | : Add binary sensor to Radarr (#79043) | : Fix Radarr import (#79037) | : Add diagnostic sensor to Radarr (#79044) | : Radarr Config Flow (#78965) | : Add Lidarr integration (#66438) | : Add tests for LitterRobot sensors (#78638) | : Add Google Sheets integration (#77853) | : Make Sonos typing more complete (#68072) | : Make Sonos typing more complete (#68072) | : Litterrobot - Do not load a platform if there is no device supporting it (#77497) | : Migrate Litterrobot to new entity naming style (#77484) | : Add reauth flow to Litterrobot (#77459) | : Add Litter Robot 4 DHCP discovery (#77463) | : Use generators for async_add_entities in Anthemav (#76587) | : Rework Accuweather sensors (#76567) | : Add reauth flow to Skybell (#75682) | : Remove deprecated YAML configuration from Skybell (#76940) | : Pass the real config for Slack (#76960) | : Pass the real config for Discord (#76959) | : Pass the real config for Discord (#76959) | : Pass the real config for Slack (#76960) | : Migrate Abode to new entity naming style (#76673) | : Use generators for async_add_entities in Ambient Station (#76586) | : Use generators for async_add_entities in Abode (#76569) | : Use generators for async_add_entities in Accuweather (#76574) | : Migrate Tautulli to new entity naming style (#75382) | : Migrate Goalzero to new entity naming style (#75358) | : Migrate Skybell to new entity naming style (#75341) | : Migrate Deluge to new entity naming style (#75359) | : Bump aiopyarr to 22.7.0 (#74749) | : Remove deprecated yaml config from Steam (#74805) | : Bump aioskybell to 22.7.0 (#74559) | : Bump aioskybell to 22.7.0 (#74559) | : Move Tautulli attributes to their own sensors (#71712) | : Add digital loggers as a Belkin supported brand (#72515) | : Add support for playing latest activity video for Skybell (#73373) | : Bump aioskybell to 22.6.1 (#73364) | : Clean up phone modem (#73181) | : Address late comment on Goalzero refactor (#73180) | : Add do not ring switch to Skybell (#73090) | : Move Skybell attributes to their own sensors (#73089) | : Bump aioskybell to 22.6.0 (#73073) | : Add config flow to skybell (#70887) | : Refactor goalzero (#72398) | : Bump aiopyarr to 2022.6.0 (#72870) | : Warn user if Steam friends list is restricted (#72285) | : Fix steam yaml import (#72245) | : Address late feedback on Deluge config flow (#71497) | : Add config flow to Slack integration (#69880) | : Remove deprecated yaml config from Deluge (#71487) | : Clean up Steam integration (#71091) | : Clean up Steam integration (#71091) | : Add config flow to steam_online integration (#67261) | : Add config flow to tautulli integration (#57450) | : Remove digital loggers integration (#69939) | : Remove deprecated Wanted sensor in radarr (#69500) | : Rename google hangouts to google chat (#68941) | : Rename google hangouts to google chat (#68941) | : Add config flow to discord (#61069) | : Bump notifications-android-tv to 0.1.5 (#68599) | : Remove deprecated yaml config from Awair (#68572) | : Add config flow to deluge (#58789) | : Remove deprecated yaml config from androidtv (#68339) | : Deprecate Dune HD YAML configuration (#68381) | : Tweak hassfest codeowners script (#68382) | : Remove deprecated yaml config from trafikverket_weatherstation (#68336) | : Clean up twitch (#67595) | : Clean up Efergy (#67755) | : Add strict typing to adguard (#67775) | : Bump aiopyarr to 22.2.2 (#67149) | : Bump aiopyarr to 22.2.2 (#67149) | : Add Phone Modem call reject button (#66742) | : Deprecate yaml config for fritzbox callmonitor (#61762) | : Deprecate ""wanted"" sensor in radarr (#63818) | : Refactor tests for modem_callerid (#59691) | : Use enums in vizio (#61996) | : Bump pyefergy to 22.1.1 (#65156) | : Simplify hass data in acmeda (#62479) | : Add strict typing to abode (#57673) | : Remove deprecated yaml config from sma (#62472) | : Remove deprecated yaml config from waze_travel_time (#62543) | : Use enums in smartthings tests (#62194) | : Remove deprecated yaml config from Syncthru (#62541) | : Add deprecation warning to switchbot yaml config (#62583) | : Use platform enums in plex tests (#62561) | : Use platform enums in vizio tests (#62555) | : Use platform enums in rest tests (#62564) | : Remove deprecated yaml config from squeezebox (#62537) | : Use platform enums in utility_meter tests (#62553) | : Use platform enums in ring tests (#62565) | : Use platform enums in withings tests (#62551) | : Remove deprecated yaml config from vlc_telnet (#62542) | : Use enums in tasmota tests (#62150) | : Clean up ssdp flow in dlna_dmr (#62466) | : Remove deprecated yaml config from philips_js (#62471) | : Remove deprecated yaml config from google travel time (#62468) | : Remove deprecated yaml config from honeywell (#62469) | : Remove deprecated yaml config from nuki (#62470) | : Remove deprecated yaml config from dlna_dmr (#62344) | : Remove deprecated yaml config from co2signal (#62343) | : Use enums in smartthings (#62198) | : Remove deprecated yaml config from broadlink (#62341) | : Remove deprecated yaml config from enphase_envoy (#62348) | : Remove deprecated yaml config from flux_led (#61844) | : Remove deprecated yaml config from Efergy (#61520) | : Use enums for rest tests (#62197) | : Remove deprecated yaml config from aurora abb (#62317) | : Remove deprecated yaml config from opengarage (#61961) | : Remove deprecated yaml config from environment canada (#61839) | : Use enums in zwave (#62131) | : Finish using enums in srp_energy (#62192) | : Use enums in zwave_js (#62130) | : Finish using enums in wled (#62189) | : Use enums in statistics tests (#62191) | : Use enums in samsungtv tests (#62195) | : Use enums in roku tests (#62196) | : Use enums in utility_meter tests (#62190) | : Use enums in wallbox (#61997) | : Use enums in unifi tests (#62151) | : Use enums for testing_config (#62140) | : Use enums in helpers tests (#62141) | : Use enums in sensor tests (#62152) | : Use enums in pvpc_hourly_pricing (#62076) | : Use enums in rachio (#62056) | : Use enums in satel_integra (#62048) | : Use enums in rainforest_eagle (#62057) | : Use enums in roomba (#62045) | : Use enums in pi_hole (#62064) | : Use enums in xiaomi_miio (#61979) | : Use enums in Point (#62070) | : Use enums in opentherm_gw (#62084) | : Use enums in Omnilogic (#62080) | : Use enums in openweathermap (#62086) | : Use enums in pvoutput (#62073) | : Use enums in p1_monitor (#62061) | : Use enums in opengarage (#62083) | : Use enums in obihai (#62078) | : Use enums in Powerwall (#62072) | : Use enums in screenlogic (#62049) | : Use enums in venstar (#61993) | : Use enums in openverse (#62082) | : Use enums in octoprint (#62079) | : Use enums in poolsense (#62071) | : Use enums in ondilo_ico (#62081) | : Use enums in rainmachine (#62058) | : Use enums in recollect_waste (#62060) | : Use enums in openuv (#62085) | : Use enums in ozw (#62088) | : Use enums in rpi_power (#62046) | : Use enums in plaato (#62069) | : Use enums in pluugwise (#62067) | : Use enums in ping (#62066) | : Use enums in picnic (#62065) | : Use enums in oasa_telematics (#62077) | : Use enums in ovo_energy (#62087) | : Use enums for Panasonic Viera (#62062) | : Clean up upcloud (#61971) | : Use enums in rdw (#62059) | : Use enums philips_js (#62063) | : Use enums in qnap (#62055) | : Use enums in samsung_tv (#62047) | : Use enums in rova (#62044) | : Use enum in roku (#62043) | : Use enums in risco (#62042) | : Use enums in ridwell (#62040) | : Use enums in rfxtrx (#62039) | : Use enums in repetier (#62038) | : Use enums in simplisafe (#62037) | : Use enums in sht31 (#62036) | : Use enums in senses (#62050) | : Use enums in sensehat (#62051) | : use enums in skybeacon (#62052) | : Use enums in skybell (#62053) | : Use enums in uptime (#62032) | : Use enums in ring (#62041) | : Use enums in shelly (#62035) | : Use enums in tolo (#62020) | : Use enums in totalconnect (#62022) | : Use enums in tplink (#62023) | : Use enums in tradfri (#62025) | : Use enums in trafikverket_train (#62026) | : Use enums in trafikverket_weatherstation (#62027) | : Use entity category enums in tuya (#62028) | : Use enums in unifi (#62029) | : Use enums in updated (#62030) | : Use enums in upnp (#62031) | : Use enums in utility_meter (#62033) | : Use enums in tractive (#62024) | : Use enums in toon (#62021) | : Use enums in vicare (#61994) | : Use enums in vilfo (#61995) | : Use enums in waqi (#61998) | : Use enums in waterfurnace (#61999) | : Use enums in webostv (#62000) | : Use enums in vallox (#61992) | : Use enums in youless (#61977) | : Use enums in velux (#61991) | : Use enums in yandex_transport (#61978) | : Use enums in wolflink (#61988) | : Use enums in withings (#61987) | : Use enums in xiaomi_aqara (#61981) | : Use enums in xbee (#61982) | : Use enums in wemo (#61983) | : Use enums in wirelesstag (#61985) | : Use enums in wiffi (#61984) | : Use Enums in zamg (#61976) | : Use Enums in zoneminder (#61975) | : Clean up dirt from recollect_waste yaml (#61964) | : Remove deprecated yaml config from enphase envoy (#61840) | : Remove deprecated yaml from foscam (#61761) | : Remove deprecated yaml config from flume (#61517) | : Fix mqtt undefined error (#59787) | : Add tests for goalzero (#59446) | : Add smartthings configuration_url (#58676) | : Fix unpatched timeout in gree config flow tests (#59449) | : Remove yaml config from modem_callerid (#59526) | : Bump goalzero to 0.2.1 (#59437) | : Bump pyefergy to 0.1.5 (#59439) | : Revert ""Add tests for goalzero"" (#59407) | : Add tests for goalzero (#57008) | : Bump pyefergy to 0.1.4 (#59219) | : Add missing ZMW currency (#58959) | : Add missing ZMW currency (#58959) | : Bump pyefergy to 0.1.3 (#58821) | : Bump pyefergy to 0.1.3 (#58821) | : Fix missing config string in sense (#58597) | : Fix missing config string in sense (#58597) | : Fix Aurora abb incorrect attr (#58450) | : Use DeviceInfo Class L-M (#58312) | : Use DeviceInfo Class P-R (#58324) | : Use DeviceInfo Class N-O (#58314) | : Use DeviceInfo Class I-K (#58300) | : Use DeviceInfo Class H (#58276) | : Fix modem callerid callback (#58275) | : Use DeviceInfo Class F-G (#58255) | : Use DeviceInfo Class E (#58230) | : Use DeviceInfo Class B-C (#58217) | : Add strict typing to modem_callerid (#57683) | : Add strict typing to efergy (#57682) | : Use DeviceInfo Class D (#58218) | : Use DeviceInfo class - A (#57859) | : Add entity categories to goalzero (#57906) | : Fix referenced before assignment error in sonos speaker (#57924) | : Add init tests for agent dvr (#57022) | : Fix mode_callerid attributes (#57774) | : Add new mac vendor to sense DHCP (#57858) | : Add configuration URL to Efergy (#57839) | : Don't use cast when possible for goalzero (#57742) | : Activate strict typing for nfandroidtv (#57743) | : Add strict typing to goalzero (#57680) | : Clean up unused loggers (#57662) | : Fix referenced before assignment in modem_callerid (#57460) | : Add energy management for efergy (#57472) | : Fix referenced before assignment in modem_callerid (#57460) | : Add config flow for efergy (#56890) | : Bump pytautulli to 21.10.0 (#57449) | : Catch errors for efergy (#57326) | : Catch errors for efergy (#57326) | : Bump goalzero to 0.2.0 (#56613) | : Move efergy api to pyefergy (#56594) | : Use EntityDescription - efergy (#54210) | : Add Config Flow to Modem Caller ID integration (#46677) | : Fix sonos alarm schema (#55318) |",home-assistant,core,,News Corp
