developer_id,profile.bio,profile.location,profile.followers,profile.following,profile.public_repos,profile.years_on_github,activity_metrics.insertions,activity_metrics.deletions,activity_metrics.lines_changed,activity_metrics.commit_count,activity_metrics.issue_count,activity_metrics.pr_count,activity_metrics.bugs_solved,activity_metrics.features_implemented,activity_metrics.tasks_resolved,activity_metrics.high_severity_repos,activity_metrics.low_or_moderate_severity_repos,activity_metrics.stars,activity_metrics.forks,activity_metrics.watchers,latest_commit.message,latest_commit.repo_owner,latest_commit.repo_name,organizations,profile.company
182,Working for @NabuCasa mostly on @home-assistant,"South Tyrol, Italy",47.0,4,40,8.0,23377,8819,32196,253,92,228,18,18,56,8,84,33.0,19.0,33.0,"Bump webrtc-models to 0.2.0 (#129627) | : Add zwave_js node_capabilities and invoke_cc_api websocket commands (#125327) | : Add go2rtc debug_ui yaml key to enable go2rtc ui (#129587) | : Remove hassio from ALLOWED_USED_COMPONENTS and move some functions to helper (#127228) | : Bump go2rtc-client to 0.0.1b3 (#129486) | : Add CameraCapabilities (#128455) | : Bump go2rtc to 1.9.6 (#129430) | : Fix go2rtc no audio issue (#129428) | : Fix hassfest docker image by pinning Python 3.12 (#129403) | : Go2rtc server start is waiting until we got the api listen stdout line (#129391) | : Bump go2rtc-client to 0.0.1b2 (#129395) | : Bump webrtc-models to 0.1.0 (#129373) | : Enable strict typing for go2rtc (#129374) | : Bump uv to 0.4.28 (#129372) | : Bump go2rtc binary to 1.9.5 (#129371) | : Fix go2rtc tests (#129342) | : Fix CI by running gen_requirements_all.py (#129339) | : Convert async_get_webrtc_client_configuration to a callback (#129329) | : Add async webrtc offer support (#127981) | : Use webrtc-models package (#129032) | : Add go2rtc binary config to expose api only on localhost (#129025) | : Bump uv to 0.4.22 (#128518) | : Rename host to url in go2rtc config flow (#128508) | : Rewrite go2rtc binary handling to be async (#128078) | : Use custom function instead mashumaro in WebRTC dataclasses (#128099) | : Use homeassistant STUN server (#127922) | : Add go2rtc and extend camera integration for better WebRTC support (#124410) | : Bump uv to 0.4.17 (#127223) | : Remove unused i386 code in Dockerfile (#126520) | : Bump uv to 0.4.12 (#126257) | : Exclude uv from wheels building (#126035) | : Fix uv installing in user site packages (#125808) | : Bump uv to 0.4.9 (#125726) | : Use uv at runtime too (#125110) | : Disbale Tfiac integration due invalid wheel (#125692) | : Bump uv to 0.4.8 (#124867) | : Disable ThermoWorks Smoke due incompatible dependencies (#125661) | : Disable fail-fast on publish container jobs (#125245) | : Enable hadolint for hassfest docker image and adjust hadolint job (#125146) | : Update modified_at datetime on storage collection changes (#125218) | : Update modified_at datetime on storage collection changes (#125218) | : Bump deebot-client to 8.4.0 (#125207) | : Bump deebot-client to 8.4.0 (#125207) | : Improve hassfest docker image (#125133) | : Bump hadolint to 2.12.0 and use matrix for all Dockerfiles (#125131) | : Bump PyTurboJPEG to 1.7.5 (#124865) | : Optimize hassfest image (#124855) | : Optimize hassfest image (#124855) | : Bump PyTurboJPEG to 1.7.5 (#124865) | : Bump version to 2024.10.0dev0 (#124808) | : Bump version to 2024.9.0b0 | : Merge remote-tracking branch 'origin/rc' into edenhaus-2024.9.0b0 | : Build hassfest docker image and pushlish it on beta/stable releases (#124706) | : Fix blocking I/O of SSLContext.load_default_certs in Ecovacs (#123856) | : Fix blocking I/O of SSLContext.load_default_certs in Ecovacs (#123856) | : Remove libcst constraint (#123661) | : Remove regex constraint (#123650) | : Bump deebot-client to 8.3.0 (#123249) | : Delete mobile_app cloudhook if not logged into the cloud (#123234) | : Bump deebot-client to 8.3.0 (#123249) | : Delete mobile_app cloudhook if not logged into the cloud (#123234) | : Fix and improve tedee lock states (#123022) | : Fix and improve tedee lock states (#123022) | : Add created_at/modified_at to config entries (#122456) | : Bump deebot-client to 8.2.0 (#122612) | : Bump deebot-client to 8.2.0 (#122612) | : Update Ecovacs translations (#122610) | : Set mode for Ecovacs clean count entity (#122611) | : Fix loading created_at/modified_at from entity registry store (#122486) | : Add model_id to Ecovacs integration (#122457) | : Add created_at/modified_at to category registry (#122454) | : Add created_at/modified_at to entity registry (#122444) | : Add created_at/modified_at to device registry (#122369) | : Frontend wants a timestamp for the created_at/modified_at attributes (#122377) | : Add created_at/modified_at to label registry (#122078) | : Add created_at/modified_at to floor registry (#122071) | : Add created_at/modified_at for area registry (#122014) | : Bump deebot-client to 8.1.1 (#121241) | : Bump deebot-client to 8.1.1 (#121241) | : Bump deebot-client to 8.1.0 (#121078) | : Bump deebot-client to 8.1.0 (#121078) | : Improve add user error messages (#120909) | : Improve add user error messages (#120909) | : Remove OverloadUT as codeowner from Ecovacs (#120517) | : Migrate Ecowitt to runtime_data (#120675) | : Adapt Roborock to runtime_data (#120578) | : Fix airgradient select entities (#120549) | : Create repair when HA auth provider is running in legacy mode (#119975) | : Deprecate DTE Energy Bridge (#120350) | : Add change username endpoint (#109057) | : Bum uv to 0.2.13 (#120101) | : Remove legacy_api_password auth provider (#119976) | : Bump deebot-client to 8.0.0 (#119515) | : Replace slave by meter in v2c (#118893) | : Replace slave by meter in v2c (#118893) | : Set enity_category to config for airgradient select entities (#118477) | : Bump deebot-client to 7.3.0 (#118462) | : Set enity_category to config for airgradient select entities (#118477) | : Bump deebot-client to 7.3.0 (#118462) | : Add ws endpoint to remove expiration date from refresh tokens (#117546) | : Remove strict connection (#117933) | : Use uv instead of pip in development env (#113517) | : Bump deebot-client to 7.2.0 (#117189) | : Bump deebot-client to 7.2.0 (#117189) | : Store runtime data in entry in Ecovacs (#116445) | : Revert ""Remove strict connection"" (#116416) | : Remove strict connection (#116396) | : Remove strict connection (#116396) | : Use None as default value for strict connection cloud store (#116219) | : Use None as default value for strict connection cloud store (#116219) | : Rename strict connection static page to guard page (#116085) | : Add strict connection for cloud (#115814) | : Bump deebot-client to 7.1.0 (#116082) | : Use location name on self hosted Ecovacs config entries (#115294) | : Bump deebot-client to 7.0.0 (#116025) | : Bump uv to 0.1.35 (#115985) | : Remove unused CI code (#115300) | : Add strict connection (#112387) | : Allow passing area/device/entity IDs to floor_id and floor_name (#114748) | : Fix CI after splitting tests (#114754) | : Allow passing area/device/entity IDs to floor_id and floor_name (#114748) | : Replace pytest-test-groups by custom tests splitter (#114381) | : Fix synology_dsm test side effects (#114722) | : Fix Rpi_power test race condition (#114662) | : Fix Google translate TTS test race condition (#114656) | : Bump uv to 0.1.27 (#114629) | : Fix ruff issue in sonos (#114616) | : Fix script for checking on existing translations (#114354) | : Remove checked in translations (#114336) | : Download translations only once in the build pipeline (#114335) | : Mark core as codeowner for some folders (#114357) | : Fix script for checking on existing translations (#114354) | : Download translations only once in the build pipeline (#114335) | : Remove checked in translations (#114336) | : Fix version_bump --set-nightly-version (#114304) | : Update bump_version.py to append also the time to nightlies and add possibility to set manual a nightly version (#114300) | : Allow pre-releases for ""Adjust nightly version"" only (#114219) | : Add Ecovacs last job event entity (#113826) | : Use uv and sort jobs in builder.yml (#114153) | : Create registry matrix to run publishing for images in parallel (#114060) | : Fix building images for nightlies (#114054) | : Use uv instead of pip on production images (#112496) | : Simplify UV install in CI (#113803) | : Use UV instead of PIP in the CI (#113051) | : Bump devcontainer to 1-3.12 (#108709) | : Remove unused translation key from Ecovacs mower (#111754) | : Deprecate mailbox platform (#110930) | : Bump deebot-client to 6.0.2 (#111507) | : Bump deebot-client to 5.2.2 (#111112) | : Bump deebot-client to 5.2.2 (#111112) | : Bump deebot-client to 5.2.1 (#110683) | : Bump deebot-client to 5.2.1 (#110683) | : Bump aioecowitt to 2024.2.1 (#109999) | : Bump deebot-client to 5.1.1 (#109994) | : Bump deebot-client to 5.1.1 (#109994) | : Bump aioecowitt to 2024.2.1 (#109999) | : Improve Ecovacs naming (#109372) | : Bump deebot_client to 5.1.0 (#109360) | : Improve Ecovacs naming (#109372) | : Bump deebot_client to 5.1.0 (#109360) | : Verify Ecovacs mqtt config (#109306) | : Verify Ecovacs mqtt config (#109306) | : Add Ecovacs switch entities (#109216) | : Add Ecovacs number entities (#109209) | : Update Ecovacs config_flow to support self-hosted instances (#108944) | : Add Ecovacs button entities (#109189) | : Fix Ecovacs duration sensors (#108868) | : Add DurationConverter (#108865) | : Add check for valid initial_suggested_unit (#108902) | : Update Ecovacs binary sensor keys (#109145) | : Update climate snapshots to fix CI (#109141) | : Improve invalid error messages in the config flows (#108075) | : Bump deebot-client to 5.0.0 (#109066) | : Add Ecovacs image entities (#108924) | : Add Ecovacs diagnostics (#108791) | : Add Ecovacs select entities (#108766) | : Add sensors to Ecovacs (#108686) | : Add binary_sensor to Ecovacs (#108544) | : Add support for MQTT based ecovacs vacuums (#108167) | : Bump Jinja2 to 3.1.3 (#108082) | : Add task to install all requirements of an integration (#108262) | : Add config flow for Ecovacs (#108111) | : Bump Jinja2 to 3.1.3 (#108082) | : Revert ""Revert ""Add preselect_remember_me to `/auth/providers`"""" (#106867) | : Fix mobile_app cloudhook creation (#107068) | : Fix mobile_app cloudhook creation (#107068) | : Fix creating cloud hook twice for mobile_app (#106945) | : Fix creating cloud hook twice for mobile_app (#106945) | : Check and register cloud hook if needed for mobile_app (#106461) | : Add preselect_remember_me to `/auth/providers` (#106462) | : Deprecate deprecated unit of measurement constants (#106455) | : Deprecate deprecated core constants (#106456) | : Deprecate some deprecated const constants (#106230) | : Deprecate deprecated data entry flow constants (#106229) | : Deprecate deprecated camera constants (#106095) | : Deprecate deprecated switch constants (#106225) | : Deprecate deprecated water_heater constants (#106226) | : Deprecate deprecated device_registry helper constants (#106227) | : Deprecate legacy_templates (#105556) | : Skip logging deprecated constant if the calling integration couldn't be indentified (#106181) | : Deprecate deprecated sensor constants (#106120) | : Deprecate deprecated climate constants (#106096) | : Deprecate deprecated siren constants (#106121) | : Move prusalink migration to async_migrate_entry and use a minor version bump (#106109) | : Deprecate deprecated alarm control panel constants (#106058) | : Deprecate deprecated lock constants (#106113) | : Deprecate deprecated device tracker constants (#106099) | : Deprecate deprecated humidifier constants (#106112) | : Deprecate deprecated cover constants (#106098) | : Deprecate deprecated fan constants (#106111) | : Deprecate deprecated number constants (#106114) | : Deprecate deprecated remote constants (#106116) | : Use patch.dict in deprecation test ""test_check_if_deprecated_constant"" (#106117) | : Deprecate deprecated automation constants (#106067) | : Move common function for testing derepcation constants to util (#106063) | : Add dir_with_deprecated_constants function to deprecation helper (#106059) | : Deprecate binary sensor device class constants (#105736) | : Fix easyenergy async_setup_services declaration (#105947) | : Deprecate legacy api auth provider (#104409) | : Extend `auth/providers` endpoint and add `/api/person/list` endpoint for local ip requests (#103906) | : Add `todo.remove_completed_items` service call (#104035) | : Revert binary_sensor part of #103210 (#103499) | : Fix todo.remove_item frontend (#103108) | : Refactor todo services and their schema (#103079) | : Fix todo.remove_item frontend (#103108) | : Refactor todo services and their schema (#103079) | : Add lokalise multi reference check to hassfest (#101876) | : Fix multilevel reference translations (#102338) | : Fix KeyError in derivative and integration (#102294) | : Remove ""none"" in favor of optional select in brottsplatskartan (#101311) | : Remove NONE_SENTINEL in favor of optional select in scrape (#101278) | : Remove NONE_SENTINEL in favor of optional select in sql (#101309) | : Remove ""none"" in favor of optional select in integration (#101396) | : Remove ""none"" in favor of optional select in derivate (#101312) | : Remove NONE_SENTINEL in favor of optional select in workday (#101280) | : Remove NONE_SENTINEL in favor of optional select in template (#101279) | : Delete optional schema keys, when they are not present (#101755) | : Fix sky connect tests (#101712) | : Add check that sensors don't have EntityCategory.CONFIG set (#101471) | : Fix timer reload description (#100433) | : Fix missspelled package names (#100670) | : Fix timer reload description (#100433) | : Add ws endpoint ""auth/delete_all_refresh_tokens"" (#98976) | : Fix typos in home_plus_controls (#99188) | : Add repair issue about the deprecation of home plus control (#98828) | : Adjust hassfest to require translations for core services (#98814) | : Name unnamed update entities by their device class (#98579) | : Fix copy-paste error in comments of number tests (#98615) | : Use @require_admin decorator (#98061) | : Add rounding back when unique_id is not set (#97603) | : Add rounding back when unique_id is not set (#97603) | : Fix duotecno's name to be sync with the docs (#97602) | : Fix duotecno's name to be sync with the docs (#97602)",home-assistant,core,,@NabuCasa @home-assistant
183,PhD in Computer science. Currently working as a Data Scientist at consid.se.Research topics includes Network Science and Social Media interactions.,"Karlskrona, Sweden",54.0,6,90,14.0,4730,2058,6788,138,19,117,12,17,0,0,19,96.0,12.0,96.0,"Fix point calls config entry to a platform multiple times (#126535) | : Bump pydaikin to 2.13.7 (#126219) | : Add support for native oauth2 in Point (#118243) | : Bump pydaikin to 2.13.7 (#126219) | : Bump pydaikin to 2.13.6 (#124852) | : Bump pydaikin to 2.13.5 (#124802) | : Bump pydaikin to 2.13.6 (#124852) | : Bump tellduslive to 0.10.12 (#124816) | : Bump pydaikin to 2.13.5 (#124802) | : Fix issue with device_class.capitalize() in point (#117969) | : Fix device_class.capitalize() in Point (#101440) | : Fix device_class.capitalize() in Point (#101440) | : Bumb pypoint to 2.3.2 (#101436) | : Bump pydaikin to 2.8.0 (#80823) | : Add Bluesound unique id (#80559) | : Bump pydaikin version (#79761) | : Bump pydaikin version (#79761) | : Point updates (#64748) | : Fix point availability (#61144) | : Fix point availability (#61144) | : Fix point device identifiers (#60719) | : Bump pypoint (#57888) | : Bump Daikin version, catch new exception during config_flow (#57080) | : Update Daikin config_flow with better error handling (#57069) | : Update Daikin config_flow with better error handling (#57069) | : Update pypoint to use v5 of backend API (#56934) | : Update pypoint to use v5 of backend API (#56934) | : Fix point ConnectionTimeout during startup (#52322) | : Bump pydaikin to 2.4.3 (#51926) | : Bump pydaikin to 2.4.3 (#51926) | : Bump pydaikin, fix airbase issues (#51797) | : Bump pydaikin, fix airbase issues (#51797) | : Update pypoint to 2.1.0 (#48223) | : Update pypoint to use async http requests (#41546) | : Add common strings in daikin config flow (#41419) | : Handle missing MAC address during daikin discovery (#38840) | : Fix unique_id in Zeroconf flow (#36948) | : Fix Daikin zeroconf discovery flow error (#36868) | : Fix Daikin zeroconf discovery flow error (#36868) | : Fix Daikin discovery (#36704) | : Fix Daikin discovery (#36704) | : Fix Daikin config flow for zeroconf devices (#36571) | : Fix Daikin config flow for zeroconf devices (#36571) | : Re-add connections to Daikin's device_info (#36340) | : Version bump pydaikin to 2.1.1 (#36341) | : Add KEY_HOSTNAME for Daikin zeroconf (#36253) | : Add support for zeroconf for Daikin (#35769) | : Bump pydaikin version to 2.1.0 (#36217) | : Bump tellduslive version (#36048) | : Fix Daikin AC integration for AirBase units (#35952) | : Bump tellduslive version (#36048) | : Deprecate Daikin yaml-support (#35768) | : Fix Daikin AC integration for AirBase units (#35952) | : Fix Daikin duplicate entries (#35833) | : Fix Daikin duplicate entries (#35833) | : Fix daikin discovery flow (#35767) | : Fix daikin discovery flow (#35767) | : Bump pydaikin to 2.0.1, catch HTTPForbidden exception (#35466) | : Use config flow base strings (#35494) | : Update pydaikin to 2.0.0 (#34807) | : Improve volvooncall (#34495) | : Fix various Daikin issues (#34249) | : Add daikin update_before_add (#34248) | : Fix various Daikin issues (#34249) | : Add daikin update_before_add (#34248) | : Fix Daikin sensor temperature_unit & cleanup (#34116) | : Fix Daikin sensor temperature_unit & cleanup (#34116) | : pydaikin version bump (#31080) | : version bump pypoint (#28737) | : Add turn_on/off to tfiac (#27712) | : Add support for resource_template for rest sensor (#27869) | : Change persistent notification about dev-info panel (#27441) | : pytfiac version bump to 0.4 (#26669) | : fix alarm webhooks (#26062) | : Daikin simplification and code cleanup (#25416) | : Update Daikin preset modes (#25395) | : Update Daikin preset modes (#25395) | : Restore Daikin A/C on/off services (#25332) | : Restore Daikin A/C on/off services (#25332) | : Daikin airbase beta fixes (#24050) | : daikin version bump (#23991) | : Fix fan rates for Daikin (#23860) | : Fix for non existing Daikin zones (#23792) | : Daikin adaptions for AirBase units (#23734) | : Use local constant in Daikin for STATE_OFF (#23712) | : Add support for SET_AWAY_MODE and TURN_ON/OFF on Daikin Climate (#23585) | : Fix point setup (#23441) | : Fix daikin setup (#23440) | : Fix point setup (#23441) | : Fix daikin setup (#23440) | : skip non existing zones (#23113) | : Use ConfigEntryNotReady when setting up Daikin (#22901) | : fix aiohttp ServerDisconnectedError in Daikin (#22880) | : fixes configuration flow #22706 (#22754) | : fixes configuration flow #22706 (#22754) | : Make platform setup a coroutine (#22620) | : Add switches to control Daikin Airbase zones (#22417) | : updated pydaikin (#22382) | : Add support for Tfiac Climate component (#21823) | : Async support for Daikin (#21638) | : resync hass that changes have occured (#21705) | : resync hass that changes have occured (#21705) | : Alarm trigger support for Point (#21207) | : Point alarm control (#20972) | : fix webhook update (#21048) | : Fix Point does I/O in event loop (#20939) | : fix missing sensor values for Point (#20937) | : Fix tellduslive responsiveness (#20603) | : Fix tellduslive responsiveness (#20603) | : fix #20387 devices without model/protocol (#20530) | : fix #20387 devices without model/protocol (#20530) | : Fix tellduslive discovery and auth issues (#20023) | : Add support for 'via_hub' for device_info (#19454) | : fixes #19814, Daikin config setting (#19823) | : fixes #19814, Daikin config setting (#19823) | : Add hub- and device-info for tellduslive (#19180) | : Add device_info to Daikin (#19372) | : fix unique_id for Tellduslive sensors (#19389) | : Version bump pydaikin (#19388) | : Add config flow for Daikin (#19182) | : Fix point sensor discovery (#19245) | : add unique_id to SMHI (#19183) | : Move daikin to package (#19187) | : TelldusLive config flow (#18758) | : Tellduslive refactoring (#18780) | : Point fix for multiple devices (#18959) | : Add unique_id for Daikin entities (#18747) | : Add unique_id for tellduslive (#18744) | : Updated codeowners (#18746) | : Updated webhook_register, version bump pypoint (#18635) | : Updated webhook_register, version bump pypoint (#18635) | : Add support for Daikin BRP069B41 (#18564) | : Support for Point component (#17466) | : updated pydaikin version (#18413) | : fixes for last version bump on pydaikin (#18438) | : Daikin fixes (#18415) | : updated pydaikin version (#18413) | : Tellduslive update with support for auto config and Local api (#10435)",home-assistant,core,dslfaithdev,Consid
184,,"Ludwigsburg, Germany",6.0,4,15,11.0,1216,32,1248,6,0,4,0,0,0,0,0,4.0,6.0,4.0,Bump numato-gpio to v0.13.0 (#113182) | : Update the numato-gpio dependency of the numato integration to v0.12.0 (#112272) | : Update the numato-gpio dependency of the numato integration to v0.12.0 (#112272) | : Upgrade numato-gpio to 0.10.0 (#47539) | : Update numato-gpio to 0.8.0 (#38415) | : Add numato integration (#33816),home-assistant,core,,Bosch
185,,"Seattle, WA",1.0,1,10,10.0,817,0,817,1,0,3,0,0,0,0,0,1.0,1.0,1.0,Add Deako integration (#121132),home-assistant,core,,
186,"Has been trying to write cryptic text in editors since 1997. Works as a consultant building apps using React, and other modern tech.",Sweden,4.0,7,17,11.0,3303,140,3443,17,0,17,0,0,0,0,0,3.0,1.0,3.0,Bump flexit_bacnet to 2.2.1 (#114641) | : Bump flexit_bacnet to 2.2.1 (#114641) | : Add hvac_action to flexit_bacnet climate entity (#110498) | : Refactor flexit_bacnet to use icon translations (#110479) | : Add setpoints for fans to flexit_bacnet (#110262) | : Make flexit bacnet switch more generic and prepare for more switches (#109154) | : Add switch to flexit bacnet integration (#108866) | : Add missing property in flexit bacnet test (#108606) | : Add binary sensors to flexit_bacnet integration (#108571) | : Add sensors to the flexit_bacnet integration (#108297) | : Add coordinator to Flexit bacnet (#108295) | : Add tests to flexit_bacnet integration (#108291) | : Set max and min temp for flexit_bacnet climate entity (#107665) | : Set max and min temp for flexit_bacnet climate entity (#107665) | : Set precision to halves in flexit_bacnet (#106959) | : Set precision to halves in flexit_bacnet (#106959) | : Add Flexit bacnet integration (#104275),home-assistant,core,,Lellky Consulting AB
187,Welp,"Kyiv, Ukraine",124.0,45,85,14.0,54,6,60,2,0,2,0,0,0,0,0,226.0,21.0,226.0,Extend hjjcy device category in Tuya integration (#124854) | : Allow to change MQTT climate hold mode (#28988),home-assistant,core,unteleported;simplepractice;fakecontrol;infeedl,@simplepractice
188,,"Beijing, China",53.0,51,33,10.0,4,4,8,2,0,1,0,0,0,0,0,142.0,22.0,142.0,Bump openwrt-luci-rpc version to 1.1.17 (#112796) | : Bump openwrt-luci-rpc version to 1.1.17 (#112796),home-assistant,core,caiyunapp,ColorfulClouds Tech @caiyunapp
189,"26. FLOSS zealot(?). Lead maintainer @pump-io, author of @straticjs. UNIX philosophy subscriber. Sysadmin. @recursecenter alum.",New York City,210.0,276,472,14.0,8,3,11,3,0,3,0,0,0,0,0,6.0,0.0,6.0,Disable SELinux enforcement on dev containers (#127774) | : Fix typo (#127775) | : Fix dead link in Kodi log message (#102743),home-assistant,core,recursecenter;indieweb;redshiftrobotics;SeaGL;hubot-archive;vowsjs;nextcloud;pump-io;straticjs;januarytech;prism-break;betathetapi,@januarytech
190,,New York City,46.0,16,101,17.0,12,1,13,1,0,1,0,0,0,0,0,20.0,7.0,20.0,Update Tuya integration with target distance (#126700),home-assistant,core,,Meta
191,Likes to tinker with code and make beautiful things,Lebanon,22.0,11,30,12.0,16134,8122,24256,129,3,147,4,2,0,0,3,14.0,5.0,14.0,"Wait for initial scan to finish before setting up platforms (#122360) | : Move transmission services registration to async_setup (#119593) | : Store Glances coordinator in runtime_data (#119607) | : Store imap coordinator in runtime_data (#119611) | : Store islamic prayer times coordinator in runtime_data (#119612) | : Store Mikrotik coordinator in runtime_data (#119594) | : Store transmission coordinator in runtime_data (#119502) | : Check if imap message text has a value instead of checking if its not None (#118901) | : Use torrent id to identify torrents that should trigger events (#118897) | : Check if imap message text has a value instead of checking if its not None (#118901) | : Fix `async_validate_location` arguments order (#111277) | : Issue warning if glances server version is 2 (#105887) | : Improve glances tests (#106402) | : Add location selector to Islamic prayer times (#105911) | : Improve Transmission Entity description class (#105924) | : Add strict typing to push bullet (#99538) | : Use iso8601 format when fetching prayer times (#104458) | : Bump Islamic prayer times library to 0.0.10 (#103420) | : Add entity description mixin to transmission switches (#103843) | : Use EntityDescription for Transmission entities (#103581) | : Bump transmission-rpc to version 7.0.3 (#103502) | : Store Islamic Prayer Times coordinator in 'entry_id' key (#103405) | : Refactor tests for Islamic Prayer Times (#103439) | : Fix sensor unique id in Islamic prayer times (#103356) | : Fix sensor unique id in Islamic prayer times (#103356) | : Code cleanup for transmission integration (#103078) | : Code cleanup for transmission integration (#103078) | : Remove scan_interval from transmission (#98858) | : Remove name from Transmission config flow (#102216) | : Use DataUpdate coordinator for Transmission (#99209) | : Remove references to `name` key in android ip webcam (#99590) | : Migrate islamic prayer times sensor unique_id to include entry_id (#100814) | : Add re-auth flow to glances integration (#100929) | : Handle authorization error in glances config flow (#100866) | : Move smtp constants to const.py (#99542) | : Add strict typing to islamic prayer times (#99585) | : Display channel number in Bravia TV if title is not available (#99567) | : Bump simplepush api to 2.2.3 (#99599) | : Use `CONF_SALT` correctly in config_flow validation (#99597) | : Add strict typing to glances (#99537) | : Allow glances entries with same IP but different ports (#99536) | : Change calculation methods to a fixed list (#99535) | : Reorganize Transmission entry setup (#99195) | : Add more type hints to Transmission (#99190) | : Add type hints to transmission (#99117) | : Drop codeowner for IMAP (#94033) | : Use `get_ha_sensor_data` method to update glances sensors (#83983) | : Use DataUpdateCoordinator for islamic_prayer_times (#73893) | : Add config flow to imap (#74623) | : Add strict typing to speedtestdotnet (#84597) | : Add strict typing to simplepush (#84598) | : Remove scan_interval and manual options from speedtestdotnet (#84295) | : Remove name key from transimssion services (#83974) | : Move speedtestdotnet coordinator to separate file (#83979) | : Move transmission to an updated library (#83932) | : Use DataUpdateCoordinator for glances (#72748) | : Add config flow to `pushbullet` (#74240) | : Deprecate name key in `Transmission` services (#78577) | : Remove deprecated YAML in `android_ip_webcam` (#80875) | : Remove deprecate service in `speedtestdotnet` (#80938) | : Remove deprecated YAML in Pushover (#80876) | : Retry setup in case of empty response from Pushover api (#80602) | : Add reauthenticaion to `mikrotik` (#74454) | : Allow entries with same user_key for Pushover (#77904) | : Add ConfigEntry template function (#78030) | : Allow entries with same user_key for Pushover (#77904) | : Add typing hints to mikrotik tests (#79144) | : Remove name key from config flow in Mikrotik (#78571) | : Fix sending notification to multiple targets in Pushover (#78111) | : Fix sending notification to multiple targets in Pushover (#78111) | : Add sensors for Tuya ""tdq"" category switches (#77581) | : Refactor version key in `glances` (#77541) | : Bump `glances` library to 0.4.1 (#77540) | : Import issue_registry from helpers for speedtestdotnet (#77467) | : Deprecate speedtest service (#77261) | : Re-write tests for `transmission` (#76607) | : Bump pydroid-ipcam to 2.0.0 (#76906) | : Add strict typing to mikrotik (#76974) | : Add config flow to `pushover` (#74500) | : Fix typing in `glances` config flow (#76654) | : Migrate Glances to new entity naming style (#76651) | : Add config flow to `android_ip_webcam` (#76222) | : Fix nullable ip_address in mikrotik (#76197) | : Fix nullable ip_address in mikrotik (#76197) | : Add issue to repairs for deprecated Simplepush YAML configuration (#75850) | : Add issue to repairs for deprecated Simplepush YAML configuration (#75850) | : Cleanup mikrotik device extra_attributes (#74491) | : Add type hints and code cleanup for mikrotik (#74296) | : Migrate `glances` unique_id to new format (#74033) | : Use DataUpdateCoordinator for `mikrotik` (#72954) | : Add config flow for `simplepush` (#73471) | : Remove deprecated YAML for Islamic prayer times (#72483) | : Add re-authentication for `transmission` (#73124) | : Remove deprecated yaml and code cleanup for `nfandroidtv` (#73227) | : Remove deprecated YAML for `transmission` (#72832) | : Remove YAML configuration from mikrotik (#72581) | : Remove YAML support for glances (#72706) | : Add device_info to `Speedtestdotnet` and some code cleanup (#56612) | : Remove config for `Speedtest.net` (#55642) | : Speedtestdotnet code cleanup and type hints (#52533) | : Properly set update_interval during Speedtest setup (#37708) | : Properly set update_interval during Speedtest setup (#37708) | : Use ""next_state"" attr instead of ""post_pending"" for ArmDisarm trait (#37325) | : Stop Speedtest sensors update on startup if manual option is enabled (#37403) | : Stop Speedtest sensors update on startup if manual option is enabled (#37403) | : Fix updating ping sensor (#37220) | : Fix updating ping sensor (#37220) | : Add Speedtestdotnet config_flow (#36254) | : Fix Islamic prayer sensor timestamp format (#35243) | : Fix Islamic prayer sensor timestamp format (#35243) | : Fix Islamic prayer times naming (#34784) | : Fix Islamic prayer times naming (#34784) | : Add Islamic Prayer Times config flow (#31590) | : Fix setting up options due to config data freeze (#32872) | : Fix setting up options due to config data freeze (#32872) | : Specify rtsp_transport for Onvif Camera (#31918) | : Add Glances sensors dynamically (#28639) | : Fix librouteros response error handling (#31588) | : Fix librouteros response error handling (#31588) | : Rework Mikrotik device scanning following Unifi (#27484) | : Rework Mikrotik device scanning following Unifi (#27484) | : Add host field to add_torrent service (#28653) | : Allow multiple Transmission clients and add unique_id to entities (#28136) | : Glances config flow (#27221) | : Add config flow to transmission (#26434) | : Add google_assistant alarm_control_panel (#26249) | : fix empty TOPIC_BASE issue (#21740) | : deluge-components-update (#14016) | : Add notifications to downloader.py (#12961)",home-assistant,core,,Gallagher Middle East
192,,Austria,25.0,13,122,13.0,3,3,6,1,0,1,0,0,0,0,0,0.0,0.0,0.0,Fix spaceapi attribute for closed icon (#108596),home-assistant,core,,
